County or equivalent,State or equivalent,Population (2019 estimate),Core Based Statistical Area
Dawson,Nebraska,"23,595","Lexington, NE Micropolitan Statistical Area"
Deuel,Nebraska,"1,794",
Dixon,Nebraska,"5,636","Sioux City, IA-NE-SD Metropolitan Statistical Area"
Dodge,Nebraska,"36,565","Fremont, NE Micropolitan Statistical Area"
Douglas,Nebraska,"571,327","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Dundy,Nebraska,"1,693",
Fillmore,Nebraska,"5,462",
Franklin,Nebraska,"2,979",
Frontier,Nebraska,"2,627",
Furnas,Nebraska,"4,676",
Gage,Nebraska,"21,513","Beatrice, NE Micropolitan Statistical Area"
Garden,Nebraska,"1,837",
Garfield,Nebraska,"1,969",
Gosper,Nebraska,"1,990","Lexington, NE Micropolitan Statistical Area"
Grant,Nebraska,623,
Greeley,Nebraska,"2,356",
Hall,Nebraska,"61,353","Grand Island, NE Metropolitan Statistical Area"
Hamilton,Nebraska,"9,324","Grand Island, NE Metropolitan Statistical Area"
Harlan,Nebraska,"3,380",
Hayes,Nebraska,922,
Hitchcock,Nebraska,"2,762",
Holt,Nebraska,"10,067",
Hooker,Nebraska,682,
Howard,Nebraska,"6,445","Grand Island, NE Metropolitan Statistical Area"
Jefferson,Nebraska,"7,046",
Johnson,Nebraska,"5,071",
Kearney,Nebraska,"6,495","Kearney, NE Micropolitan Statistical Area"
Keith,Nebraska,"8,034",
Keya Paha,Nebraska,806,
Kimball,Nebraska,"3,632",
Knox,Nebraska,"8,332",
Lancaster,Nebraska,"319,090","Lincoln, NE Metropolitan Statistical Area"
Lincoln,Nebraska,"34,914","North Platte, NE Micropolitan Statistical Area"
Logan,Nebraska,748,"North Platte, NE Micropolitan Statistical Area"
Loup,Nebraska,664,
McPherson,Nebraska,494,"North Platte, NE Micropolitan Statistical Area"
Madison,Nebraska,"35,099","Norfolk, NE Micropolitan Statistical Area"
Merrick,Nebraska,"7,755","Grand Island, NE Metropolitan Statistical Area"
Morrill,Nebraska,"4,642",
Nance,Nebraska,"3,519",
Nemaha,Nebraska,"6,972",
Nuckolls,Nebraska,"4,148",
Otoe,Nebraska,"16,012",
Pawnee,Nebraska,"2,613",
Perkins,Nebraska,"2,891",
Phelps,Nebraska,"9,034",
Pierce,Nebraska,"7,148","Norfolk, NE Micropolitan Statistical Area"
Platte,Nebraska,"33,470","Columbus, NE Micropolitan Statistical Area"
Polk,Nebraska,"5,213",
Red Willow,Nebraska,"10,724",
Richardson,Nebraska,"7,865",
Rock,Nebraska,"1,357",
Saline,Nebraska,"14,224",
Sarpy,Nebraska,"187,196","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Saunders,Nebraska,"21,578","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Scotts Bluff,Nebraska,"35,618","Scottsbluff, NE Micropolitan Statistical Area"
Seward,Nebraska,"17,284","Lincoln, NE Metropolitan Statistical Area"
Sheridan,Nebraska,"5,246",
Sherman,Nebraska,"3,001",
Sioux,Nebraska,"1,166","Scottsbluff, NE Micropolitan Statistical Area"
Stanton,Nebraska,"5,920","Norfolk, NE Micropolitan Statistical Area"
Thayer,Nebraska,"5,003",
Thomas,Nebraska,722,
Thurston,Nebraska,"7,224",
Valley,Nebraska,"4,158",
Washington,Nebraska,"20,729","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area"
Wayne,Nebraska,"9,385",
Webster,Nebraska,"3,487",
Wheeler,Nebraska,783,
York,Nebraska,"13,679",
Churchill,Nevada,"24,909","Fallon, NV Micropolitan Statistical Area"
Clark,Nevada,"2,266,715","Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area"
Douglas,Nevada,"48,905","Gardnerville Ranchos, NV Micropolitan Statistical Area"
Elko,Nevada,"52,778","Elko, NV Micropolitan Statistical Area"
Esmeralda,Nevada,873,
Eureka,Nevada,"2,029","Elko, NV Micropolitan Statistical Area"
Humboldt,Nevada,"16,831","Winnemucca, NV Micropolitan Statistical Area"
Lander,Nevada,"5,532",
Lincoln,Nevada,"5,183",
Lyon,Nevada,"57,510","Fernley, NV Micropolitan Statistical Area"
Mineral,Nevada,"4,505",
Nye,Nevada,"46,523","Pahrump, NV Micropolitan Statistical Area"
Pershing,Nevada,"6,725",
Storey,Nevada,"4,123","Reno, NV Metropolitan Statistical Area"
Washoe,Nevada,"471,519","Reno, NV Metropolitan Statistical Area"
White Pine,Nevada,"9,580",
"Carson City, Consolidated Municipality of[u]",Nevada,"55,916","Carson City, NV Metropolitan Statistical Area"
Belknap,New Hampshire,"61,303","Laconia, NH Micropolitan Statistical Area"
Carroll,New Hampshire,"48,910",
Cheshire,New Hampshire,"76,085","Keene, NH Micropolitan Statistical Area"
Coos,New Hampshire,"31,563","Berlin, NH-VT Micropolitan Statistical Area"
Grafton,New Hampshire,"89,886","Claremont-Lebanon, NH-VT Micropolitan Statistical Area"
Hillsborough,New Hampshire,"417,025","Manchester-Nashua, NH Metropolitan Statistical Area"
Merrimack,New Hampshire,"151,391","Concord, NH Micropolitan Statistical Area"
Rockingham,New Hampshire,"309,769","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
Strafford,New Hampshire,"130,633","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
Sullivan,New Hampshire,"43,146","Claremont-Lebanon, NH-VT Micropolitan Statistical Area"
Atlantic,New Jersey,"263,670","Atlantic City-Hammonton, NJ Metropolitan Statistical Area"
Bergen,New Jersey,"932,202","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Burlington,New Jersey,"445,349","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Camden,New Jersey,"506,471","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Cape May,New Jersey,"92,039","Ocean City, NJ Metropolitan Statistical Area"
Cumberland,New Jersey,"149,527","Vineland-Bridgeton, NJ Metropolitan Statistical Area"
Essex,New Jersey,"798,975","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Gloucester,New Jersey,"291,636","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Hudson,New Jersey,"672,391","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Hunterdon,New Jersey,"124,371","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Mercer,New Jersey,"367,430","Trenton-Princeton, NJ Metropolitan Statistical Area"
Middlesex,New Jersey,"825,062","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Monmouth,New Jersey,"618,795","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Morris,New Jersey,"491,845","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Ocean,New Jersey,"607,186","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Passaic,New Jersey,"501,826","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Salem,New Jersey,"62,385","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Somerset,New Jersey,"328,934","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Sussex,New Jersey,"140,488","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Union,New Jersey,"556,341","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Warren,New Jersey,"105,267","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area"
Bernalillo,New Mexico,"679,121","Albuquerque, NM Metropolitan Statistical Area"
Catron,New Mexico,"3,527",
Chaves,New Mexico,"64,615","Roswell, NM Micropolitan Statistical Area"
Cibola,New Mexico,"26,675","Grants, NM Micropolitan Statistical Area"
Colfax,New Mexico,"11,941",
Curry,New Mexico,"48,954","Clovis, NM Micropolitan Statistical Area"
De Baca,New Mexico,"1,748",
Doña Ana,New Mexico,"218,195","Las Cruces, NM Metropolitan Statistical Area"
Eddy,New Mexico,"58,460","Carlsbad-Artesia, NM Micropolitan Statistical Area"
Grant,New Mexico,"26,998","Silver City, NM Micropolitan Statistical Area"
Guadalupe,New Mexico,"4,300",
Harding,New Mexico,625,
Hidalgo,New Mexico,"4,198",
Lea,New Mexico,"71,070","Hobbs, NM Micropolitan Statistical Area"
Lincoln,New Mexico,"19,572",
Los Alamos[v],New Mexico,"19,369","Los Alamos, NM Micropolitan Statistical Area"
Luna,New Mexico,"23,709","Deming, NM Micropolitan Statistical Area"
McKinley,New Mexico,"71,367","Gallup, NM Micropolitan Statistical Area"
Mora,New Mexico,"4,521",
Otero,New Mexico,"67,490","Alamogordo, NM Micropolitan Statistical Area"
Quay,New Mexico,"8,253",
Rio Arriba,New Mexico,"38,921","Española, NM Micropolitan Statistical Area"
Roosevelt,New Mexico,"18,500","Portales, NM Micropolitan Statistical Area"
Sandoval,New Mexico,"146,748","Albuquerque, NM Metropolitan Statistical Area"
San Juan,New Mexico,"123,958","Farmington, NM Metropolitan Statistical Area"
San Miguel,New Mexico,"27,277","Las Vegas, NM Micropolitan Statistical Area"
Santa Fe,New Mexico,"150,358","Santa Fe, NM Metropolitan Statistical Area"
Sierra,New Mexico,"10,791",
Socorro,New Mexico,"16,637",
Taos,New Mexico,"32,723","Taos, NM Micropolitan Statistical Area"
Torrance,New Mexico,"15,461","Albuquerque, NM Metropolitan Statistical Area"
Union,New Mexico,"4,059",
Valencia,New Mexico,"76,688","Albuquerque, NM Metropolitan Statistical Area"
Albany,New York,"305,506","Albany-Schenectady-Troy, NY Metropolitan Statistical Area"
Allegany,New York,"46,091",
Bronx,New York,"1,418,207","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Broome,New York,"190,488","Binghamton, NY Metropolitan Statistical Area"
Cattaraugus,New York,"76,117","Olean, NY Micropolitan Statistical Area"
Cayuga,New York,"76,576","Auburn, NY Micropolitan Statistical Area"
Chautauqua,New York,"126,903","Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area"
Chemung,New York,"83,456","Elmira, NY Metropolitan Statistical Area"
Chenango,New York,"47,207",
Clinton,New York,"80,485","Plattsburgh, NY Micropolitan Statistical Area"
Columbia,New York,"59,461","Hudson, NY Micropolitan Statistical Area"
Cortland,New York,"47,581","Cortland, NY Micropolitan Statistical Area"
Delaware,New York,"44,135",
Dutchess,New York,"294,218","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Erie,New York,"918,702","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area"
Essex,New York,"36,885",
Franklin,New York,"50,022","Malone, NY Micropolitan Statistical Area"
Fulton,New York,"53,383","Gloversville, NY Micropolitan Statistical Area"
Genesee,New York,"57,280","Batavia, NY Micropolitan Statistical Area"
Greene,New York,"47,188",
Hamilton,New York,"4,416",
Herkimer,New York,"61,319","Utica-Rome, NY Metropolitan Statistical Area"
Jefferson,New York,"109,834","Watertown-Fort Drum, NY Metropolitan Statistical Area"
Kings,New York,"2,559,903","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Lewis,New York,"26,296",
Livingston,New York,"62,914","Rochester, NY Metropolitan Statistical Area"
Madison,New York,"70,941","Syracuse, NY Metropolitan Statistical Area"
Monroe,New York,"741,770","Rochester, NY Metropolitan Statistical Area"
Montgomery,New York,"49,221","Amsterdam, NY Micropolitan Statistical Area"
Nassau,New York,"1,356,924","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
New York,New York,"1,628,706","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Niagara,New York,"209,281","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area"
Oneida,New York,"228,671","Utica-Rome, NY Metropolitan Statistical Area"
Onondaga,New York,"460,528","Syracuse, NY Metropolitan Statistical Area"
Ontario,New York,"109,777","Rochester, NY Metropolitan Statistical Area"
Orange,New York,"384,940","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Orleans,New York,"40,352","Rochester, NY Metropolitan Statistical Area"
Oswego,New York,"117,124","Syracuse, NY Metropolitan Statistical Area"
Otsego,New York,"59,493","Oneonta, NY Micropolitan Statistical Area"
Putnam,New York,"98,320","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Queens,New York,"2,253,858","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Rensselaer,New York,"158,714","Albany-Schenectady-Troy, NY Metropolitan Statistical Area"
Richmond,New York,"476,143","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Rockland,New York,"325,789","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
St. Lawrence,New York,"107,740","Ogdensburg-Massena, NY Micropolitan Statistical Area"
Saratoga,New York,"229,863","Albany-Schenectady-Troy, NY Metropolitan Statistical Area"
Schenectady,New York,"155,299","Albany-Schenectady-Troy, NY Metropolitan Statistical Area"
Schoharie,New York,"30,999","Albany-Schenectady-Troy, NY Metropolitan Statistical Area"
Schuyler,New York,"17,807",
Seneca,New York,"34,016","Seneca Falls, NY Micropolitan Statistical Area"
Steuben,New York,"95,379","Corning, NY Micropolitan Statistical Area"
Suffolk,New York,"1,476,601","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Sullivan,New York,"75,432",
Tioga,New York,"48,203","Binghamton, NY Metropolitan Statistical Area"
Tompkins,New York,"102,180","Ithaca, NY Metropolitan Statistical Area"
Ulster,New York,"177,573","Kingston, NY Metropolitan Statistical Area"
Warren,New York,"63,944","Glens Falls, NY Metropolitan Statistical Area"
Washington,New York,"61,204","Glens Falls, NY Metropolitan Statistical Area"
Wayne,New York,"89,918","Rochester, NY Metropolitan Statistical Area"
Westchester,New York,"967,506","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area"
Wyoming,New York,"39,859",
Yates,New York,"24,913","Rochester, NY Metropolitan Statistical Area"
Alamance,North Carolina,"169,509","Burlington, NC Metropolitan Statistical Area"
Alexander,North Carolina,"37,497","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area"
Alleghany,North Carolina,"10,939",
Anson,North Carolina,"26,161",
Ashe,North Carolina,"27,151",
Avery,North Carolina,"17,713",
Beaufort,North Carolina,"46,994","Washington, NC Micropolitan Statistical Area"
Bertie,North Carolina,"20,344",
Bladen,North Carolina,"34,843",
Brunswick,North Carolina,"142,820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area"
Buncombe,North Carolina,"261,191","Asheville, NC Metropolitan Statistical Area"
Burke,North Carolina,"90,485","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area"
Cabarrus,North Carolina,"216,453","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Caldwell,North Carolina,"82,178","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area"
Camden,North Carolina,"10,187","Elizabeth City, NC Micropolitan Statistical Area"
Carteret,North Carolina,"69,743","Morehead City, NC Micropolitan Statistical Area"
Caswell,North Carolina,"23,190",
Catawba,North Carolina,"159,551","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area"
Chatham,North Carolina,"74,470","Durham-Chapel Hill, NC Metropolitan Statistical Area"
Cherokee,North Carolina,"27,218",
Chowan,North Carolina,"14,726",
Clay,North Carolina,"10,584",
Cleveland,North Carolina,"97,947","Shelby, NC Micropolitan Statistical Area"
Columbus,North Carolina,"55,508",
Craven,North Carolina,"102,139","New Bern, NC Metropolitan Statistical Area"
Cumberland,North Carolina,"335,509","Fayetteville, NC Metropolitan Statistical Area"
Currituck,North Carolina,"24,396","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
Dare,North Carolina,"35,019","Kill Devil Hills, NC Micropolitan Statistical Area"
Davidson,North Carolina,"167,609","Winston-Salem, NC Metropolitan Statistical Area"
Davie,North Carolina,"42,846","Winston-Salem, NC Metropolitan Statistical Area"
Duplin,North Carolina,"58,741",
Durham,North Carolina,"321,488","Durham-Chapel Hill, NC Metropolitan Statistical Area"
Edgecombe,North Carolina,"51,472","Rocky Mount, NC Metropolitan Statistical Area"
Forsyth,North Carolina,"382,295","Winston-Salem, NC Metropolitan Statistical Area"
Franklin,North Carolina,"69,685","Raleigh, NC Metropolitan Statistical Area"
Gaston,North Carolina,"224,529","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Gates,North Carolina,"11,650","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area"
Graham,North Carolina,"8,736",
Granville,North Carolina,"60,443","Oxford, NC Micropolitan Statistical Area"
Greene,North Carolina,"21,232",
Guilford,North Carolina,"537,174","Greensboro-High Point, NC Metropolitan Statistical Area"
Halifax,North Carolina,"50,010","Roanoke Rapids, NC Micropolitan Statistical Area"
Harnett,North Carolina,"135,976","Dunn, NC Micropolitan Statistical Area"
Haywood,North Carolina,"62,317","Asheville, NC Metropolitan Statistical Area"
Henderson,North Carolina,"117,417","Asheville, NC Metropolitan Statistical Area"
Hertford,North Carolina,"24,431",
Hoke,North Carolina,"55,234","Fayetteville, NC Metropolitan Statistical Area"
Hyde,North Carolina,"5,721",
Iredell,North Carolina,"181,806","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Jackson,North Carolina,"43,938","Cullowhee, NC Micropolitan Statistical Area"
Johnston,North Carolina,"209,339","Raleigh, NC Metropolitan Statistical Area"
Jones,North Carolina,"10,215","New Bern, NC Metropolitan Statistical Area"
Lee,North Carolina,"61,779","Sanford, NC Micropolitan Statistical Area"
Lenoir,North Carolina,"55,949","Kinston, NC Micropolitan Statistical Area"
Lincoln,North Carolina,"86,111","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
McDowell,North Carolina,"45,756","Marion, NC Micropolitan Statistical Area"
Macon,North Carolina,"33,857",
Madison,North Carolina,"21,022","Asheville, NC Metropolitan Statistical Area"
Martin,North Carolina,"23,699",
Mecklenburg,North Carolina,"1,110,356","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Mitchell,North Carolina,"15,328",
Montgomery,North Carolina,"27,571",
Moore,North Carolina,"100,880","Pinehurst-Southern Pines, NC Micropolitan Statistical Area"
Nash,North Carolina,"94,298","Rocky Mount, NC Metropolitan Statistical Area"
New Hanover,North Carolina,"234,473","Wilmington, NC Metropolitan Statistical Area"
Northampton,North Carolina,"20,839","Roanoke Rapids, NC Micropolitan Statistical Area"
Onslow,North Carolina,"197,938","Jacksonville, NC Metropolitan Statistical Area"
Orange,North Carolina,"148,476","Durham-Chapel Hill, NC Metropolitan Statistical Area"
Pamlico,North Carolina,"12,953","New Bern, NC Metropolitan Statistical Area"
Pasquotank,North Carolina,"39,824","Elizabeth City, NC Micropolitan Statistical Area"
Pender,North Carolina,"63,060","Wilmington, NC Metropolitan Statistical Area"
Perquimans,North Carolina,"13,601","Elizabeth City, NC Micropolitan Statistical Area"
Person,North Carolina,"39,490","Durham-Chapel Hill, NC Metropolitan Statistical Area"
Pitt,North Carolina,"180,742","Greenville, NC Metropolitan Statistical Area"
Polk,North Carolina,"20,411",
Randolph,North Carolina,"143,667","Greensboro-High Point, NC Metropolitan Statistical Area"
Richmond,North Carolina,"44,829","Rockingham, NC Micropolitan Statistical Area"
Robeson,North Carolina,"130,625","Lumberton, NC Micropolitan Statistical Area"
Rockingham,North Carolina,"91,010","Greensboro-High Point, NC Metropolitan Statistical Area"
Rowan,North Carolina,"142,088","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Rutherford,North Carolina,"67,029","Forest City, NC Micropolitan Statistical Area"
Sampson,North Carolina,"63,531",
Scotland,North Carolina,"36,025","Laurinburg, NC Micropolitan Statistical Area"
Stanly,North Carolina,"62,806","Albemarle, NC Micropolitan Statistical Area"
Stokes,North Carolina,"45,591","Winston-Salem, NC Metropolitan Statistical Area"
Surry,North Carolina,"71,783","Mount Airy, NC Micropolitan Statistical Area"
Swain,North Carolina,"14,058",
Transylvania,North Carolina,"32,903","Brevard, NC Micropolitan Statistical Area"
Tyrrell,North Carolina,"4,109","Kill Devil Hills, NC Micropolitan Statistical Area"
Union,North Carolina,"239,859","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area"
Vance,North Carolina,"44,535","Henderson, NC Micropolitan Statistical Area"
Wake,North Carolina,"1,111,761","Raleigh, NC Metropolitan Statistical Area"
Warren,North Carolina,"20,575",
Washington,North Carolina,"12,722",
Watauga,North Carolina,"56,177","Boone, NC Micropolitan Statistical Area"
Wayne,North Carolina,"123,131","Goldsboro, NC Metropolitan Statistical Area"
Wilkes,North Carolina,"68,412","North Wilkesboro, NC Micropolitan Statistical Area"
Wilson,North Carolina,"81,801","Wilson, NC Micropolitan Statistical Area"
Yadkin,North Carolina,"37,667","Winston-Salem, NC Metropolitan Statistical Area"
Yancey,North Carolina,"17,566",
Adams,North Dakota,"2,360",
Barnes,North Dakota,"11,190",
Benson,North Dakota,"6,877",
Billings,North Dakota,874,
Bottineau,North Dakota,"6,736",
Bowman,North Dakota,"3,214",
Burke,North Dakota,"2,306",
Burleigh,North Dakota,"95,626","Bismarck, ND Metropolitan Statistical Area"
Cass,North Dakota,"181,923","Fargo, ND-MN Metropolitan Statistical Area"
Cavalier,North Dakota,"3,896",
Dickey,North Dakota,"5,248",
Divide,North Dakota,"2,314",
Dunn,North Dakota,"4,162",
Eddy,North Dakota,"2,404",
Emmons,North Dakota,"3,486",
Foster,North Dakota,"3,366",
Golden Valley,North Dakota,"1,823",
Grand Forks,North Dakota,"69,451","Grand Forks, ND-MN Metropolitan Statistical Area"
Grant,North Dakota,"2,377",
Griggs,North Dakota,"2,296",
Hettinger,North Dakota,"2,660",
Kidder,North Dakota,"2,428",
LaMoure,North Dakota,"4,166",
Logan,North Dakota,"1,946",
McHenry,North Dakota,"5,922","Minot, ND Micropolitan Statistical Area"
McIntosh,North Dakota,"2,754",
McKenzie,North Dakota,"9,314",
McLean,North Dakota,"9,517",
Mercer,North Dakota,"8,592",
Morton,North Dakota,"28,990","Bismarck, ND Metropolitan Statistical Area"
Mountrail,North Dakota,"9,376",
Nelson,North Dakota,"3,095",
Oliver,North Dakota,"1,874","Bismarck, ND Metropolitan Statistical Area"
Pembina,North Dakota,"7,181",
Pierce,North Dakota,"4,451",
Ramsey,North Dakota,"11,554",
Ransom,North Dakota,"5,516",
Renville,North Dakota,"2,608","Minot, ND Micropolitan Statistical Area"
Richland,North Dakota,"16,339","Wahpeton, ND-MN Micropolitan Statistical Area"
Rolette,North Dakota,"14,582",
Sargent,North Dakota,"3,890",
Sheridan,North Dakota,"1,304",
Sioux,North Dakota,"4,430","Bismarck, ND Metropolitan Statistical Area"
Slope,North Dakota,761,
Stark,North Dakota,"28,212","Dickinson, ND Micropolitan Statistical Area"
Steele,North Dakota,"1,960",
Stutsman,North Dakota,"21,120","Jamestown, ND Micropolitan Statistical Area"
Towner,North Dakota,"2,317",
Traill,North Dakota,"8,245",
Walsh,North Dakota,"11,104",
Ward,North Dakota,"67,641","Minot, ND Micropolitan Statistical Area"
Wells,North Dakota,"4,206",
Williams,North Dakota,"29,595","Williston, ND Micropolitan Statistical Area"
Northern Islands Municipality[9],Northern Mariana Islands,0,
Rota Municipality,Northern Mariana Islands,"2,477",
Saipan Municipality,Northern Mariana Islands,"48,220",
Tinian Municipality,Northern Mariana Islands,"3,136",
Adams,Ohio,"27,698",
Allen,Ohio,"102,351","Lima, OH Metropolitan Statistical Area"
Ashland,Ohio,"53,484","Ashland, OH Micropolitan Statistical Area"
Ashtabula,Ohio,"97,241","Ashtabula, OH Micropolitan Statistical Area"
Athens,Ohio,"65,327","Athens, OH Micropolitan Statistical Area"
Auglaize,Ohio,"45,656","Wapakoneta, OH Micropolitan Statistical Area"
Belmont,Ohio,"67,006","Wheeling, WV-OH Metropolitan Statistical Area"
Brown,Ohio,"43,432","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Butler,Ohio,"383,134","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Carroll,Ohio,"26,914","Canton-Massillon, OH Metropolitan Statistical Area"
Champaign,Ohio,"38,885","Urbana, OH Micropolitan Statistical Area"
Clark,Ohio,"134,585","Springfield, OH Metropolitan Statistical Area"
Clermont,Ohio,"206,428","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Clinton,Ohio,"41,968","Wilmington, OH Micropolitan Statistical Area"
Columbiana,Ohio,"101,883","Salem, OH Micropolitan Statistical Area"
Coshocton,Ohio,"36,600","Coshocton, OH Micropolitan Statistical Area"
Crawford,Ohio,"41,494","Bucyrus, OH Micropolitan Statistical Area"
Cuyahoga,Ohio,"1,235,072","Cleveland-Elyria, OH Metropolitan Statistical Area"
Darke,Ohio,"51,113","Greenville, OH Micropolitan Statistical Area"
Defiance,Ohio,"38,087","Defiance, OH Micropolitan Statistical Area"
Delaware,Ohio,"209,177","Columbus, OH Metropolitan Statistical Area"
Erie,Ohio,"74,266","Sandusky, OH Micropolitan Statistical Area"
Fairfield,Ohio,"157,574","Columbus, OH Metropolitan Statistical Area"
Fayette,Ohio,"28,525","Washington Court House, OH Micropolitan Statistical Area"
Franklin,Ohio,"1,316,756","Columbus, OH Metropolitan Statistical Area"
Fulton,Ohio,"42,126","Toledo, OH Metropolitan Statistical Area"
Gallia,Ohio,"29,898","Point Pleasant, WV-OH Micropolitan Statistical Area"
Geauga,Ohio,"93,649","Cleveland-Elyria, OH Metropolitan Statistical Area"
Greene,Ohio,"168,937","Dayton, OH Metropolitan Statistical Area"
Guernsey,Ohio,"38,875","Cambridge, OH Micropolitan Statistical Area"
Hamilton,Ohio,"817,473","Cincinnati, OH-KY-IN Metropolitan Statistical Area"
Hancock,Ohio,"75,783","Findlay, OH Micropolitan Statistical Area"
Hardin,Ohio,"31,365",
Harrison,Ohio,"15,040",
Henry,Ohio,"27,006",
Highland,Ohio,"43,161",
Hocking,Ohio,"28,264","Columbus, OH Metropolitan Statistical Area"
Holmes,Ohio,"43,960",
Huron,Ohio,"58,266","Norwalk, OH Micropolitan Statistical Area"
Jackson,Ohio,"32,413","Jackson, OH Micropolitan Statistical Area"
Jefferson,Ohio,"65,325","Weirton-Steubenville, WV-OH Metropolitan Statistical Area"
Knox,Ohio,"62,322","Mount Vernon, OH Micropolitan Statistical Area"
Lake,Ohio,"230,149","Cleveland-Elyria, OH Metropolitan Statistical Area"
Lawrence,Ohio,"59,463","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area"
Licking,Ohio,"176,862","Columbus, OH Metropolitan Statistical Area"
Logan,Ohio,"45,672","Bellefontaine, OH Micropolitan Statistical Area"
Lorain,Ohio,"309,833","Cleveland-Elyria, OH Metropolitan Statistical Area"
Lucas,Ohio,"428,348","Toledo, OH Metropolitan Statistical Area"
Madison,Ohio,"44,731","Columbus, OH Metropolitan Statistical Area"
Mahoning,Ohio,"228,683","Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area"
Marion,Ohio,"65,093","Marion, OH Micropolitan Statistical Area"
Medina,Ohio,"179,746","Cleveland-Elyria, OH Metropolitan Statistical Area"
Meigs,Ohio,"22,907",
Mercer,Ohio,"41,172","Celina, OH Micropolitan Statistical Area"
Miami,Ohio,"106,987","Dayton, OH Metropolitan Statistical Area"
Monroe,Ohio,"13,654",
Montgomery,Ohio,"531,687","Dayton, OH Metropolitan Statistical Area"
Morgan,Ohio,"14,508",
Morrow,Ohio,"35,328","Columbus, OH Metropolitan Statistical Area"
Muskingum,Ohio,"86,215","Zanesville, OH Micropolitan Statistical Area"
Noble,Ohio,"14,424",
Ottawa,Ohio,"40,525","Port Clinton, OH Micropolitan Statistical Area"
Paulding,Ohio,"18,672",
